iter	Passed	Remaining
0	11	8974
1	20	8096
2	30	8074
3	39	7871
4	49	7905
5	59	7851
6	67	7652
7	77	7689
8	86	7645
9	97	7663
10	105	7583
11	115	7570
12	125	7576
13	134	7571
14	145	7598
15	153	7517
16	163	7538
17	173	7537
18	182	7508
19	192	7496
20	200	7442
21	210	7442
22	218	7388
23	228	7383
24	237	7356
25	245	7320
26	255	7314
27	263	7270
28	274	7288
29	284	7291
30	295	7334
31	306	7348
32	314	7307
33	324	7306
34	333	7296
35	344	7317
36	354	7312
37	362	7277
38	372	7271
39	381	7252
40	391	7244
41	400	7227
42	409	7210
43	419	7208
44	427	7180
45	437	7176
46	445	7143
47	456	7152
48	465	7135
49	475	7139
50	485	7134
51	494	7110
52	504	7110
53	512	7082
54	522	7077
55	532	7068
56	540	7046
57	550	7043
58	558	7014
59	568	7008
60	576	6987
61	586	6980
62	594	6958
63	604	6949
64	613	6940
65	622	6921
66	632	6914
67	640	6890
68	649	6883
69	658	6864
70	667	6855
71	675	6831
72	685	6824
73	693	6806
74	702	6795
75	712	6787
76	721	6775
77	732	6777
78	740	6756
79	750	6752
80	762	6769
81	771	6751
82	780	6746
83	789	6731
84	799	6724
85	808	6713
86	817	6700
87	827	6692
88	835	6674
89	845	6668
90	853	6649
91	864	6653
92	873	6640
93	882	6625
94	891	6617
95	899	6598
96	910	6601
97	920	6592
98	931	6596
99	943	6601
100	953	6598
101	966	6612
102	978	6619
103	989	6618
104	999	6612
105	1010	6616
106	1020	6606
107	1029	6599
108	1040	6597
109	1049	6585
110	1060	6584
111	1071	6584
112	1081	6575
113	1092	6571
114	1100	6557
115	1111	6553
116	1121	6547
117	1130	6533
118	1141	6530
119	1157	6559
120	1166	6545
121	1178	6546
122	1189	6547
123	1198	6536
124	1210	6534
125	1220	6528
126	1228	6510
127	1238	6502
128	1251	6508
129	1259	6492
130	1269	6482
131	1279	6474
132	1290	6470
133	1301	6468
134	1310	6457
135	1320	6448
136	1329	6434
137	1339	6425
138	1349	6419
139	1358	6402
140	1367	6392
141	1375	6375
142	1386	6371
143	1396	6359
144	1405	6348
145	1415	6342
146	1423	6325
147	1434	6320
148	1444	6309
149	1453	6296
150	1462	6287
151	1471	6272
152	1481	6263
153	1489	6248
154	1499	6240
155	1510	6234
156	1519	6222
157	1530	6218
158	1538	6203
159	1548	6193
160	1556	6177
161	1565	6167
162	1575	6157
163	1583	6142
164	1593	6131
165	1601	6116
166	1611	6107
167	1619	6091
168	1629	6082
169	1637	6067
170	1647	6060
171	1657	6050
172	1665	6035
173	1675	6026
174	1683	6011
175	1692	6002
176	1701	5987
177	1710	5978
178	1719	5964
179	1728	5955
180	1738	5947
181	1747	5932
182	1756	5923
183	1765	5909
184	1774	5900
185	1783	5886
186	1792	5876
187	1800	5861
188	1810	5854
189	1820	5844
190	1829	5833
191	1840	5827
192	1849	5816
193	1858	5806
194	1867	5794
195	1876	5783
196	1886	5775
197	1895	5762
198	1906	5757
199	1914	5744
200	1924	5734
201	1933	5724
202	1942	5712
203	1952	5704
204	1961	5692
205	1970	5682
206	1978	5669
207	1988	5659
208	1997	5648
209	2006	5637
210	2016	5627
211	2025	5617
212	2036	5611
213	2044	5598
214	2054	5588
215	2063	5578
216	2073	5570
217	2083	5561
218	2091	5547
219	2101	5539
220	2109	5525
221	2118	5516
222	2127	5504
223	2136	5494
224	2146	5486
225	2155	5473
226	2164	5464
227	2172	5451
228	2182	5442
229	2190	5429
230	2200	5420
231	2209	5409
232	2219	5401
233	2230	5394
234	2238	5382
235	2248	5374
236	2256	5361
237	2273	5369
238	2285	5364
239	2293	5351
240	2303	5343
241	2312	5332
242	2321	5321
243	2331	5312
244	2339	5299
245	2349	5290
246	2357	5278
247	2367	5270
248	2377	5259
249	2385	5248
250	2395	5239
251	2403	5226
252	2413	5217
253	2421	5205
254	2432	5198
255	2441	5187
256	2450	5177
257	2460	5168
258	2468	5156
259	2478	5148
260	2487	5136
261	2496	5127
262	2505	5114
263	2514	5106
264	2523	5094
265	2533	5085
